"Question","Answer"
"I do not file taxes. Is there a way for TDS to not get deducted from the FD?","Currently, we do not offer a solution to avoid TDS deduction. Some banks allow the filing of forms 15G/15H, but we do not have this functionality. TDS is deducted only if the total interest from all sources with the bank exceeds Rs 40,000 for normal citizens and Rs 50,000 for senior citizens."
"What is FD advice?","FD advice is a computer-generated statement provided by the bank as proof of ownership or investment when you open a fixed deposit."
"Can I add or change a nominee later?","Yes, you can add or change a nominee later, but this service is currently available only with some partner banks. You will see the “Add Nominee” option on the dashboard once your FD is successfully booked."
"Who can I add as a nominee?","You can add any individual as a nominee, including family members, relatives, friends, or any trusted person."
"Can I add a nominee who is less than 18 years old?","Yes, but you must provide the details of a guardian."
"Is it mandatory to add a nominee?","No, it is not mandatory to add a nominee, but it is recommended."
"What is the minimum and maximum amount I can invest in a fixed deposit?","You can start investing in fixed deposits with a minimum amount as low as INR 5000. The maximum amount varies based on the specific FD scheme you choose."
"What is an NBFC and do they also offer fixed deposits?","A Non-Banking Financial Corporation (NBFC) operates as a financial institution without a full banking license, regulated by the Ministry of Corporate Affairs and the Reserve Bank of India. NBFCs offer services like savings, investment plans, lending schemes, insurance, and fixed deposits."
"Can only banks offer fixed deposits?","No, fixed deposits are offered by banks, NBFCs, and the India Post Office. FDs with NBFCs, known as Corporate FDs, often offer higher interest rates compared to banks."
"What is DICGC and which deposits are secured by them?","The Deposit Insurance and Credit Guarantee Corporation (DICGC) is a wholly-owned subsidiary of the Reserve Bank of India (RBI). It insures bank deposits, including savings, current, recurring, and fixed deposits, up to Rs. 5 lakh per account holder per bank. This insurance does not cover FDs with NBFCs."
"Is it safe to invest in an FD?","Yes, FDs are one of the safest investment options. Unlike market-led investments where returns fluctuate, the returns on an FD are fixed at the time of investment. Even if FD interest rates change over time, your FD will grow at the rate you initially booked."
"What is a fixed deposit and why should I invest?","A fixed deposit (FD) is a popular and safe investment option in India. You invest a lump sum of money at an agreed interest rate and receive the amount along with interest upon maturity. The interest rates are fixed, higher than a regular savings account, and the investment is protected from market fluctuations."
"Can I prematurely withdraw my FD?","Yes, you can prematurely withdraw your Fixed Deposit with Axis Bank and Utkarsh Bank once the lock-in period is completed."
"How will I know when my withdrawal is completed?","You will receive an SMS or notification from the bank regarding the crediting of money in your account. The FD booking will be automatically removed post-withdrawal."
"Are there any withdrawal processing charges?","No, there are no withdrawal processing charges."
"When and where will I receive my money in case of a withdrawal?","You will receive your money within 2 working days after successfully placing withdrawal instructions to the account details provided during the FD booking process."
"What interest rate will I get in case of a premature withdrawal?","For premature withdrawal, the interest rate applicable will be for the tenure the FD was maintained. A penalty rate will also apply, and the net off penalty rate will be the applicable interest rate."
"What should I do if I am stuck on the payment step and cannot understand the current status?","Click on “Go to Dashboard” to track your FDs in the Pending Investments tab."
"What should I do if I haven't received the refund yet?","Your money is safe. If you haven’t received the refund within 7 working days, check your bank account statement for refund transactions and ensure 7 working days have passed."
"Why did my payment fail?","Third-party limit error: Check your daily online transaction limit in your net banking, as exceeding this limit will cause the transaction to fail.\nUPI limit error: UPI transactions have a daily limit of Rs 1 lakh. Ensure you are not exceeding this limit.\nBank connection error: Sometimes the connection to your bank’s page or UPI app page may break during payment, causing the transaction to fail."
"What if my payment fails?","If your payment fails and the amount is deducted, it will be refunded within 2-4 working days. You can place another request for an FD if you are still interested."
"What should I do if the bank servers are down?","Retry after some time or use a different bank account."
"Why did I receive an SMS of INR 1 credit?","We verify your bank account by transferring INR 1. This verification process might result in an SMS from your bank informing you about the credit."
"What should I do if my bank is inactive but my bank details are correct?","Your payout account must be an active bank account for us to credit the money on maturity or withdrawal. If your bank status is inactive, either add another active bank account or check with your bank regarding your account status."
"How can I add my bank if it is not in the list?","Click on the Search tab, enter your bank name, and you will be able to select your bank to add as the payout account for your fixed deposit."
"Can I add someone else's bank account details?","No, the payout account should belong to you. We do not allow the use of another person’s account for payout. Please use an account that is in your name."
"What is a payout account?","A payout account is where your fixed deposit investments will be credited upon maturity. This is the account where you will receive your money back."
"Why is my FD rejected?","The FD may be rejected due to a discrepancy in the information provided. You can retry with the correct details."
"Where can I see my ongoing investments?","You can access your ongoing investments on the ‘My Investments’ page under the Ongoing Investments tab."
"I haven't received the FD advice yet. Where will it get delivered?","The FD advice is usually delivered to your registered email ID within 7 days of successful FD booking. This document is directly shared by the bank."
"What should I do if my payment was complete, but the FD status is not showing complete?","It can take some time for the bank to verify your application. You will receive an SMS notification once the FD is approved, which can take up to 24 hours. You can also track the status on the app dashboard."
"When will my funds be blocked and unblocked?","Your funds will be blocked once you approve the UPI mandate request for IPO.\nYour funds will be unblocked/released on or before the UPI mandate expiry date if the shares are not allotted through IPO.\nPlease reach out to your bank in case funds are not unblocked/released post the mandate expiry date."
"Why is my IPO application rejected?","Few of the common reasons your IPO application is rejected:\n\n- You might have entered the wrong UPI ID or UPI PIN while approving the mandate.\n- Ensuring that the Bank A/c, Demat A/c, and UPI ID are mapped to the same PAN.\n\nExample: Jack is using Jill’s UPI ID to apply for an IPO with his Demat A/c. In such a case, Jack’s application will be rejected because Jill’s bank account is not linked to Jack’s demat account, and Jill’s UPI ID is not linked to Jack’s PAN."
"Can I modify my IPO bid?","Yes, you can modify the lot size and UPI ID of your IPO bid after placing an order.\n\nNote:\n- If you have already approved your UPI mandate and then modify the order, the entire IPO bid amount will be blocked again along with the original.\n- You will also receive another UPI mandate request.\n- If you haven’t approved the original mandate, no amount will be blocked for the original bid."
"Why didn’t my account get debited after applying for an IPO?","As per the ASBA process, banks block your funds instead of debiting them immediately.\n\n- Once shares are allotted, the amount is debited.\n- If shares are not allotted, funds are unblocked on or before the UPI mandate expiry date.\n- Banks usually take 10–15 days to release the funds. Contact your bank if funds are still blocked after that."
"My daughter is a minor. Can I apply for an IPO using her account?","The Angel One app doesn’t support IPO applications by minors.\nHowever, minors can apply through the physical ASBA process at your bank."
"Can I apply for an IPO using my HUF’s account?","You cannot apply via the Angel One app.\nHowever, you can apply using your HUF account through the physical ASBA process with your bank."
"Can I apply for an IPO using my bank’s current account?","It is preferred that you apply using your savings account as most banks do not process IPO applications submitted using a current account. You need to check with your bank for more details."
"Can I use a bank account not linked with Angel One to apply?","You can apply for an IPO using any other bank account provided the account is in the name of the investor."
"What is the cut-off price & why should I apply at a cut-off price?","Cut-off price is the price at which the shares get issued through an IPO to the investors. This price is ascertained at the allotment stage. When an investor applies for an IPO at a cut-off price, that means he is ready to bid at this price. In an ideal scenario, all retail investors bid at the cut-off price to increase their chance of allotment."
"How can an NRI apply for an IPO using the Angel One app?","NRI’s can not apply via the Angel One app. However, they can apply through the physical ASBA (Application Supported By Blocked Amount) process with your bank."
"What are the charges of applying for an IPO?","With Angel One, there are no charges to apply for an IPO."
"By when can I approve the UPI mandate request?","Pending mandates shall expire after 5 PM on the last day. So users should accept the mandate before 5 PM on the last day to participate in the IPO."
"How to approve an IPO mandate request?","You have to approve the IPO mandate request in your UPI app."
"When will I receive my UPI mandate request after placing an order?","Below are a few things you can do:\n- Go to your Payment App – Navigate to the mandate section and check if you have an open mandate or not.\n- In case you have received many mandates, you can cross verify with the Application ID mentioned in the mandate details with the Application ID mentioned in the order details from Angel One’s Application.\n- Make sure your Payments App is updated.\n- If it is taking longer than 6 hours then cancel your bid from Angel One’s application and place a new bid."
"Why can’t I see my UPI handle listed in the dropdown in the Angel One app while applying for an IPO?","In case you can’t find your UPI Handle in the dropdown list on the IPO page in the Angel One app, it means your UPI Handle is not approved by NPCI for applying for an IPO. Try to use or create an alternative UPI ID with any of the entities featured on the NPCI list."
"Why am I unable to apply for IPOs via my UPI ID/Handle?","For IPO applications, only UPI ID/Handles approved by NPCI are allowed. In case you are unable to apply for IPO using your UPI ID/Handle, we recommend that you check the list of banks/apps approved by NPCI for providing UPI service for IPO application."
"How can I create my UPI ID?","You can follow the below steps to create a UPI ID with the BHIM app:\n- Download the Google Pay/ PhonePe / BHIM App.\n- Verify your mobile number.\n- Register the passcode (it is required to open the app).\n- Select your bank from the options available.\n- The app will fetch your bank details.\n- In case you have more than one account, choose the account you want to register with BHIM.\n- Set up a UPI PIN for security.\n- Now you can check your UPI ID in the profile section."
"I don’t have a UPI ID. Can I apply for an IPO?","In case you don’t have a UPI ID, you can create it with any of the UPI Handles featured in the NPCI list. Alternatively, you can apply through ASBA with your bank or through physical form."
"Where can I find my UPI ID?","Generally, you can find your UPI ID in the profile section of the respective app you are using."
"How can I get a guaranteed IPO allotment?","We would like to explain that Angel One is merely a platform to apply for IPO and has no control over its allotment. IPO allotment can never be guaranteed since, in case of over-subscription, the allotment is done via a lottery system. However, you can avoid application rejection by:\n\n- Applying from only 1 Demat account per PAN\n- Applying at cut-off price\n- Ensuring that the Bank A/c, Demat A/c, and UPI ID are mapped to the same PAN\n\nFor example: Jack is using Jill’s UPI ID to apply for an IPO with his Demat A/c. In such a case, Jack’s application will be rejected because:\n\n- Jill’s bank A/C used is not linked to the Demat A/c of Jack\n- Jill’s UPI ID used is not linked to Jack’s PAN"
"Where can I check my refund status in case of a rejected/non-allotted IPO application?","Banks will simply hold/block your money when you apply for an IPO. So, your funds will be released/unblocked on or before the UPI mandate expiry date. Please reach out to your bank in case funds are not unblocked or released post the mentioned date."
"Why didn’t I get my IPO allotment?","Common reasons why you didn’t get the allotment are:\n\n- Non-Allotment: Allotment is done through lottery system because of over-subscription.\n\n- Rejection: Application can be rejected due to either of the following reasons:\n 1) Application received from multiple Demat accounts having the same PAN\n 2) Bank account Demat account, and UPI ID used for an application not mapped to the same PAN\n 3) Your bid price is lower than the final issue price"
"Is tax applicable on profit from an IPO?","Tax will be levied on your profit as per your tax bracket."
"When is the next IPO coming?","Visit our website https://www.angelone.in/upcoming-IPO to get all information about forthcoming IPO’s."
"I have approved the mandate request, but the status on the Angel One app is still pending. What to do?","Your UPI mandate request status on the Angel One app does not get updated in real-time. It will reflect shortly in your IPO order book."
"Can I withdraw/delete/cancel my IPO bid?","For an IPO application process in the Angel One app, withdrawing, deleting, and canceling the application is the same thing.\n\nFollow the below path to withdraw/cancel your IPO application:\n- Tap on IPO on the Home page\n- Click on IPO orders & click on the IPO Order you wish to cancel\n- Tap on cancel & confirm to cancel your IPO Order"
"How can I check my IPO application status?","Follow the below path to check your IPO application status:\n- Tap on IPO on the Home page\n- Click on IPO orders & click on the IPO Order for which you want to check the application status\n- Your IPO application status will be visible from here"
"Can I submit multiple applications for an IPO?","Only 1 application per PAN is recommended. Even if you apply via different platforms using the same PAN, your application will be rejected and you will not get the IPO allotment. However, you can increase the chances of IPO allotment by applying with different account linked to different PAN. For example, you can apply with your and your parents demat account separately."
"Where to check the IPO allotment status?","Follow the below path to check your subscription status\nTap on IPO on the Home page\nClick on IPO orders & click on the IPO Order for which you want to check the subscription status\nYour IPO subscription status will be visible from here"
"How can I place a bid for OFS?","As of now, we do not have an online facility for OFS order placement. You can Call us / Write to us by visiting the link at the bottom of the page."
"At what time can I bid for an Offer for Sale (OFS)?","You can place your bid for OFS from 9:15 AM to 3:30 PM on the OFS date."
"Can I modify or cancel my Offer for Sale bid?","Yes, cancellation and modification of orders are possible before 3:20 PM. As of now, we do not have an online facility for OFS order cancellation/modification. You can Call us / Write to us by visiting the link at the bottom of the page."
"Where can I find a list of Upcoming & past OFS?","Click the link below to get the list of Upcoming & Past OFS\nhttps://www1.nseindia.com/live_market/content/live_watch/offer_sale/ofs_sale.htm"
"At what time can I bid for an Offer for Sale (OFS)?","You can place your bid for OFS from 9:15 AM to 3:30 PM on the OFS date."
"How many shares can I buy in an OFS?","There is no specific lot size required. You can bid even for one share. However, if there is a lot size specified by the Seller as mentioned in the OFS announcement notice, orders placed in the specified lot size only will be accepted."
"When will the funds get debited for my OFS bid?","Ledger amount will be blocked during the time of bidding. If your OFS bid has been accepted and you have been allotted shares, your account will be debited for the appropriate amount at End of Trading Day. Shares will be credited on the next T+2 days. In case of oversubscription, shares will be allotted on a pro-rata basis. You can also place a bid using the Margin available in your account. However, ensure you have sufficient Margin while making the bid. To find out your Margin, visit your Fund section on the Angel One app."
"When would the OFS shares get credited into my Demat account?","If your OFS bid has been accepted and you have been allotted shares, the same will be credited to your Demat account on T + 2 days."
"What does Retail & Non-Retail category mean?","Retail category is for Individual Investors with a limit of Rs 2,00,000/- for Individual bids. Non Retail category is for Organizations, FII, etc. with a bid limit greater than 2 lakhs."
"If allotted, how soon can I sell off my shares?","Once the shares get credited into your Demat account and reflect in your Portfolio holdings, you can place your sell order any time after that."
"What is the difference between the Floor price and cut-off price?","Floor Price is the lowest price at which you can place your bid. This price is provided by sellers. Cut off Price is the lowest price at which the OFS issue gets subscribed. This price differs for the Retail and Non Retail Categories."
"Can I buy OFS using MTF (Margin Trading Facility)?","No, it’s not possible to bid for OFS using MTF."
"Can I place multiple bids for Offer for Sale?","Yes you can place multiple bids for Offer for Sale. Further, investors opting for multiple orders across Exchanges should be aware that all bids in the Retail category amounting to more than Rs 2,00,000 will be rejected."
"What is Sovereign Gold Bond (SGB) & who is the issuer?","SGBs are government securities denominated in grams of gold. They are an alternate to holding physical gold. SGBs are issued by RBI on behalf of the Government of India."
"Why should I buy SGB rather than physical gold & what are the benefits?","SGBs offer investors with a range of benefits, such as: The quantity of gold for which the investor pays is protected, since he receives the ongoing market price at the time of redemption/ premature redemption. No risks and costs of physical storage. No making charges and purity issues. Earn interest at 2.5% per year on the initial investment. Interest is credited twice a year."
"Are there any risks in investing in SGBs?","There may be a risk of capital loss if the market price of gold declines. However, the investor does not lose in terms of the units of gold that he/she has paid for."
"Who is eligible to invest in the SGBs?","All Indian residents as defined under Foreign Exchange Management Act, of 1999 are eligible to invest in SGBs. Eligible investors include individuals, HUFs, trusts, universities and charitable institutions."
"Whether joint holding will be allowed?","Yes, joint holding is allowed."
"Can a Minor invest in SGB?","Yes. The application on behalf of the minor has to be made by his/her guardian."
"What is the minimum and maximum limit for investment?","The Bonds are issued in denominations of one gram of gold and in multiples thereof. Minimum investment in the Bond shall be one gram with a maximum limit of subscription of 4 kg for individuals, 4 kg for Hindu Undivided Family (HUF) and 20 kg for trusts and similar entities notified by the government from time to time per fiscal year (April-March). In case of joint holding, the limit applies to the first applicant. The annual ceiling will include bonds subscribed under different tranches during initial issuance by Government and those purchased from the secondary market. The ceiling on investment will not include the holdings as collateral by banks and other Financial Institutions."
"What is the rate of interest and how will the interest be paid?","The Bonds bear interest at the rate of 2.50% (fixed rate) per annum on the amount of initial investment. Interest will be credited semi-annually to the bank account of the investor and the last interest will be payable on maturity along with the principal. There will be no capital gain tax at maturity."
"At what price the bonds are sold?","The nominal value of Gold Bonds shall be in Indian Rupees fixed on the basis of simple average of closing price of gold of 999 purity, published by the India Bullion and Jewelers Association Limited, for the last 3 business days of the week preceding the subscription period."
"Will RBI publish the rate of gold applicable every day?","The price of gold for the relevant tranche will be published on the RBI website two days before the issue opens."
"What will I get on redemption?","On maturity, the Gold Bonds shall be redeemed in Indian Rupees and the redemption price shall be based on simple average of closing price of gold of 999 purity of previous 3 business days from the date of repayment, published by the India Bullion and Jewelers Association Limited."
"How will I get the redemption amount?","Interest and redemption proceeds will be credited to the bank account furnished by the customer at the time of buying the bond."
"What are the procedures involved during redemption?","The investor will be advised one month before maturity regarding the ensuing maturity of the bond. On the date of maturity, the maturity proceeds will be credited to the registered bank account."
"Can I encash the bond anytime I want? Is premature redemption allowed?","Though the tenor of the bond is 8 years, early encashment/redemption of the bond is allowed after the fifth year from the date of issue. The bond can be traded on Exchanges, if held in demat form. It can also be transferred to any other eligible investor."
"Can I gift the bonds to a relative or friend on some occasion?","The bond can be gifted/transferred to a relative/friend/anybody who fulfills the eligibility criteria."
"Is tax deducted at source (TDS) applicable on the bond?","TDS is not applicable to the bond. However, it is the responsibility of the bond holder to comply with the tax laws."
"Can I trade these bonds?","The bonds are tradable from a date to be notified by RBI. (It may be noted that only bonds held in demat form with depositories can be traded on stock exchanges). The bonds can also be sold and transferred as per provisions of Government Securities Act, 2006. Partial transfer of bonds is also possible."
"What is Stock SIP?","Stock SIP is a tool that helps you create wealth, by regularly investing small amounts in stocks & ETF’s of your choice as per your risk profile. To know more about Stock SIP Click Here."
"What is the frequency of Stock SIP?","The frequency for Stock SIP is Daily, Weekly or Monthly."
"When will my Stock SIP orders be placed?","Your Stock SIP orders will be placed between 11:00 am to 1:00 pm on the SIP day on a best-effort basis."
"Are there any additional charges for Stock SIP?","There are no additional charges for Stock SIP. However, you will be charged the normal brokerage as per your brokerage plan."
"From where will my funds be debited for my Stock SIP order?","Funds will be debited from your Angel One ledger for your Stock SIP order on the SIP debit date. Please maintain sufficient balance in your Angel One Ledger on the SIP debit date."
"How can I place a Stock SIP Order?","Tap on Stock SIP in the Tools Option on the Home page. Add the stock for which you want to create a SIP. Enter the amount, start date, frequency & click on Create Stock SIP. Your Stock SIP will be successfully created."
"How can I cancel my Stock SIP order?","Tap on Orders at the bottom of the page. Click on Stock SIP & select the SIP you wish to cancel. Tap on cancel SIP & submit. Your Stock SIP will be successfully cancelled."
"How can I check my repayment schedule online and retrieve my credentials?","The repayment schedule is not available on the app. You can request your repayment schedule by:\n\n- Emailing at: support@creditsaison-in.com\n- Calling: 18001038961"
"What happens if I miss an EMI? Will ECS bounce charges be levied?","Yes, if you miss an EMI, a bounce charge of INR 450 will be applied."
"Do I get email/SMS reminders from the Banks before my EMI date?","Lenders will send EMI reminders before the due date via call and WhatsApp."
"Do I have the option of part prepayment of the loan? Are there any charges for it?","No, part prepayment of the loan is not available currently."
"How do I check my payment statement online?","You can check your payment statement online under the ‘Loans’ tab. All details for verification, tracking, and managing your loans will be available there once the loan is approved."
"What happens if I don't pay back OR miss EMI repayments on the Loan?","If you miss or fail to repay your EMIs on the loan, it can negatively affect your credit score and may lead to additional charges or legal action. We strongly urge you to avoid missing your loan monthly installment payments."
"How can I pay my missed EMI or foreclose the loan?","If your EMI is not cleared from your bank account via the auto debit E-NACH mandate on the due date due to inadvertent circumstances, you can pay it yourself through the Angel One app. Follow these steps:\n\n1. Open the Angel One app.\n2. Navigate to the loan pass book.\n3. Use the “Pay Now” section to make the payment via net banking or debit card.\n\nAlternatively, the EMI mandate will be represented for auto debit from your bank account.\nTo foreclose the loan, you can also use the Angel One app to find the option to foreclose and complete the payment using the same methods."
"How can I change my bank account used for repaying the EMI?","Presently, we do not have the feature to facilitate the change of the bank account used to set up the EMI mandate. We urge you to continue servicing your EMI through the bank account that was used at the time of loan disbursement."
"When can I foreclose my loan?","Your eligibility for foreclosure varies depending on the lender partner. Please check your loan documents for specific details regarding foreclosure eligibility and conditions."
"How do I check if I am eligible to apply for a personal loan?","Currently, Angel One is offering personal loans via its lending partners to a select group of existing users only. We will gradually be rolling out the product to more users. Stay tuned for updates!"
"What is the maximum sum of money that I can borrow?","The amount you can borrow depends on your profile. Currently, the maximum loan amount offered is Rs 5 Lakhs."
"What documents will I have to submit when applying for a personal loan?","When applying for a personal loan, you may need to submit the following documents:\n\n- Aadhaar and PAN for KYC approval\n- Bank account details for cash disbursal\n- Selfie and signature for user identification"
"Can I add a prepaid amount of EMI in principal instead of Interest?","No, this option is not available currently."
"Where do I get the loan application form?","Once you go to the loans tab on our Angel One platform, you will see the loan application form there. Please note: Only Angel One eligible customers will see the loans tab on our platform."
"Can I apply for a joint loan with my spouse?","No, we do not allow joint loan applications."
"I live out of the country and work from a remote location, will I be eligible for a personal loan?","No, we only disburse personal loans to Indian citizens currently residing in India."
"I'm an NRI. Can I avail of a personal loan?","No, we only disburse personal loans to Indian citizens currently residing in India."
"Can I use my Angel One holdings as collateral for availing of personal loans?","No, we do not permit using collateral for availing personal loans."
"How much interest will I be charged?","The interest rate and applicable EMIs are shown to you during the loan application process before you avail the loan."
"How can a NACH/eNACH setup help?","NACH/eNACH Mandate is a repayment service that automates monthly recurring payments, such as loan EMIs. This setup ensures that:\n\n- Your monthly EMIs are automatically collected from your bank account on the due date.\n- You don’t miss any EMI payments, helping you maintain a good credit history.\n- It simplifies the repayment process, saving you time and effort."
"Are there any advantages in applying for a personal loan online?","Yes, applying for a personal loan online offers several advantages:\n\n- Convenience: You can apply from anywhere with just a few clicks.\n- Quick Processing: Submit necessary documents online and get money in your account within the same day.\n- Seamless Experience: The entire process is smooth and efficient, saving you time and effort."
"Is there any offer for women/senior citizens?","No, there are no special offers for women or senior citizens. However, if you have a good history with Angel One, we may provide attractive offers to you."


"How do I check if I am eligible to apply for a personal loan?","Currently, Angel One is offering personal loans via its lending partners to a select group of existing users only. We will gradually be rolling out the product to more users. Stay tuned for updates!"
"What is the maximum sum of money that I can borrow?","The amount you can borrow depends on your profile. Currently, the maximum loan amount offered is Rs 5 Lakhs."
"What documents will I have to submit when applying for a personal loan?","When applying for a personal loan, you may need to submit the following documents:\n- Aadhaar and PAN for KYC approval\n- Bank account details for cash disbursal\n- Selfie and signature for user identification"
"Can I add a prepaid amount of EMI in principal instead of Interest?","No, this option is not available currently."
"Where do I get the loan application form?","Once you go to the loans tab on our Angel One platform, you will see the loan application form there. Please note: Only Angel One eligible customers will see the loans tab on our platform."
"Can I apply for a joint loan with my spouse?","No, we do not allow joint loan applications."
"I live out of the country and work from a remote location, will I be eligible for a personal loan?","No, we only disburse personal loans to Indian citizens currently residing in India."
"I'm an NRI. Can I avail of a personal loan?","No, we only disburse personal loans to Indian citizens currently residing in India."
"Can I use my Angel One holdings as collateral for availing of personal loans?","No, we do not permit using collateral for availing personal loans."
"How much interest will I be charged?","The interest rate and applicable EMIs are shown to you during the loan application process before you avail the loan."
"How can a NACH/eNACH setup help?","NACH/eNACH Mandate is a repayment service that automates monthly recurring payments, such as loan EMIs. This setup ensures that:\n1. Your monthly EMIs are automatically collected from your bank account on the due date.\n2. You don't miss any EMI payments, helping you maintain a good credit history.\n3. It simplifies the repayment process, saving you time and effort."
"Are there any advantages in applying for a personal loan online?","Yes, applying for a personal loan online offers several advantages:\n1. Convenience: You can apply from anywhere with just a few clicks.\n2. Quick Processing: Submit necessary documents online and get money in your account within the same day.\n3. Seamless Experience: The entire process is smooth and efficient, saving you time and effort."
"Is there any offer for women/senior citizens?","No, there are no special offers for women or senior citizens. However, if you have a good history with Angel One, we may provide attractive offers to you."
"Is prepayment allowed for personal loans?","No, prepayment is not allowed for personal loans at the moment."
"Can I change my EMI due date?","No, you cannot change your EMI due date once the loan is approved and disbursed."
"Can I change my EMI date once the loan EMI has started?","No, there is no option to change the EMI date currently."
"How is the personal loan disbursed?","Once your loan application is approved, the loan amount will be disbursed to your registered bank account within 24 hours."
"Is there any balance transfer offer on a personal loan? Are there any benefits to this balance transfer?","No, there is no balance transfer option available for personal loans currently."
"What is the maximum tenure of loan?","The loan tenure at Angel One varies based on the customer's profile. We thoroughly assess each user's profile to determine the most suitable tenure."
"What is the processing fee for a loan?","The processing fee depends on your profile and will be specified during the application process."
"How can I track my loan application?","You can track your loan application under the 'Loans' tab in the Angel One app. All necessary details for verification, tracking, and managing your loan will be available there."
"Do I need to provide collateral for a personal loan?","No, you do not need to provide collateral for a personal loan."
"Are personal loan interest rates fixed or floating?","Our lending partners charge a fixed interest rate for personal loans. This means your EMI amount remains the same every month throughout the loan tenure."
"What are the fees? Why should I pay them? Are there hidden fees?","All applicable charges are clearly shown in the Loan Agreement, Sanction Letter, and Key Fact Statement (KFS). Please read these documents carefully while accepting the loan terms and conditions during the application process. There are no hidden fees."
"Is there any restriction for usage of the loan amount or can I use it to pay up any other loan?","You can use the personal loan amount at your discretion, including paying off other loans. However, it is crucial to use the loan for legal purposes and ensure timely repayment to avoid any serious actions against you."
"How does CIBIL affect my loan approval process?","We check your CIBIL score to determine your eligibility for a personal loan."
"What is the foreclosure process, and is there a minimum lock-in period?","There is no lock-in period for foreclosure. You can initiate foreclosure through the app."
"What are the foreclosure charges for a loan?","Foreclosure charges, or full prepayment charges, depend on the lender. Specific details will be provided by your lender."
"Can I get a top-up loan after taking a personal loan?","No, we are still working on that product."
"Do I have to pay any additional charges for foreclosure?","Yes, foreclosure charges will be levied. These charges vary depending on factors such as the loan amount and tenure. The charges tend to be higher if you choose to close your loan earlier."
"What is a credit report and score?","Credit Report: A credit report is a detailed record of your credit history and financial behaviour. It includes information about:\n1. Your credit accounts\n2. Payment history\n3. Outstanding debts\n4. Inquiries made by lenders\n\nCredit Score: A credit score is a numerical representation of your creditworthiness based on the information in your credit report."
"What are the factors that affect my credit score?","Your credit score is influenced by several factors:\n1. Payment History: Consistency in repaying debts on time.\n2. Credit Utilisation: The ratio of your current credit card balances to your credit limits.\n3. Length of Credit History: The duration of your credit accounts.\n4. Types of Credit: A mix of different types of credit accounts (e.g., credit cards, loans).\n5. Recent Credit Inquiries: Number of recent applications for new credit."
"What do the terms settlement, default, and closed mean? Do they affect my credit score?","1. Settlement:\n- Occurs when you negotiate with a creditor to pay less than the full amount owed.\n- It resolves the debt but is noted on your credit report.\n- Can negatively impact your credit score.\n\n2. Default:\n- Happens when you fail to make required payments on time, breaching the loan agreement.\n- Significantly harms your credit score.\n- May lead to legal actions or collections.\n\n3. Closed:\n- Refers to an account that has been fully paid off and is no longer active.\n- Can affect the length of your credit history, which is a factor in credit scoring.\n\nAll three terms can impact your credit score:\n- Settlements and defaults: Negatively impact your score.\n- Closed accounts: Indirectly influence your score by affecting the length of your credit history."
"What is the Annual Percentage Rate (APR)?","The Annual Percentage Rate (APR) represents the overall annual cost of a loan as a percentage. It includes the interest rate and additional charges like processing fees. APR provides a clear understanding of the true borrowing cost, helping you comprehend your actual loan expenditure."
"Why was my loan application rejected even though I have a decent salary?","Your loan application is evaluated based on multiple factors. While your salary is one aspect, other considerations include your credit score, existing debt, and our lender partners’ policies."
"Why was my loan application rejected?","Your application did not meet the requirements of our lender partners’ policies. Therefore, we are unable to offer you a loan at this time."
"My loan application was rejected. How can I reapply?","You will need to wait at least 90 days before you can reapply for a loan after a rejection."
"If I have any complaints or concerns related to personal loans, what are the Grievance Redressal (Nodal) Officer details for Angel One and its lending partners?","For grievances related to your loan facility, you can reach out to the Nodal Officer at Angel One:\n- Name: Gable Fernandes\n- Email: lendingsupport@angelbroking.com\n- Phone No.: 1800 1020\n- Designation: Nodal Grievance Redressal Officer\n- Address: 601 6th Floor, Ackruti Star, Central Road – MIDC, Andheri (E), Mumbai – 400 093\n\nIf you are not satisfied with the decision or have not received any response within the set timelines, you may escalate the issue following our escalation matrix stated on our website.\n\nFor Kisetsu Saison India Private Limited (Credit Saison):\nCustomers can provide feedback or send complaints through the following channels between 10:00 am and 6:00 pm, Monday to Friday (except on national holidays):\n1. Call Customer Service Helpline: 1800-1038-961\n2. Email: support@creditsaison-in.com\n3. Write to:\n   - Kisetsu Saison Finance India Private Limited (Credit Saison)\n   - First Floor, IndiQube Lexington Tower\n   - Lexington Towers, Tavarekere Main Rd, Tavarekere, S.G. Palya, Bengaluru, Karnataka 560029\n\nIf the response received through the above channels is not satisfactory, you can approach the Complaints Redressal Officer:\n- Name: Ms. Preethi Nair\n- Email: preethi.nair@creditsaison-in.com"
"Where can I see my account balance?","Tap on Account at the bottom of your screen\nTrading balance is shown on the card at the top of the page\nClick on Trading balance card to view more details about the funds"
"What is my Available Margin to Trade?","Available Margin to Trade consists of your Funds balance & margin against eligible holdings."
"How to increase my Available Margin to Trade?","You can increase your Available Margin to Trade by adding Funds or by creating a Margin Pledge against your eligible holdings in Accounts -> Stock Pledging."
"What is Peak Margin requirement?","Peak Margin is the minimum margin that must be collected by brokers from their clients in advance of placing any intraday / delivery order."
"What is Peak Margin Shortfall?","Peak Margin shortfall occurs when you buy a share from 80% margin released against delivery sell transactions and such sell position is subsequently bought back.\nYou will be charged a penalty if margin shortfall is due to insufficient margin."
